GeneID	M	A	p.value	Adj.p.value
SGIP1	1.40750239545644	6.79277690727787	0.0198731027173091	0.0651077977815938
AZIN2	0.799665404195686	6.61706436277496	0.106424828621866	0.189385149350803
SLC45A1	-0.457339869041804	4.54950177222818	0.169936597826199	0.266760080327335
NECAP2	1.03775975877138	9.37948070788723	0.00511346435353469	0.0300408610488712
CLIC4	-0.43900297737211	12.7378255922367	0.368086803059769	0.466151170061128
AGBL4	2.06569991190537	3.47270024465585	0.00118311911360885	0.0129819873944686
TGFBR3	-1.90842525024299	10.0300170341975	0.0166902196412727	0.0587524523627049
DBT	1.41634689801772	8.31502601814728	1.66731189445297e-06	0.000866691828759228
RFWD2	0.709148337400265	9.01429631706231	0.00520914375438876	0.0303004515901836
PRUNE	0.969910888510219	8.38451757382861	0.013018968578513	0.0509889247472407
C1orf21	-1.85491837595255	10.0057484195292	0.00505359209727634	0.0298415497870206
LIN9	2.73632861243989	6.84012975593993	7.56297302968954e-05	0.00363006708907706
C1orf159	-1.54401417981501	6.4737518702591	0.00134691444082636	0.0140043394072028
PRKCZ	-0.31304356736997	7.35104905041406	0.23612106923004	0.336103252403674
CAMTA1	-1.55000455023083	9.49326439039084	0.0191621854067785	0.0636968966562949
PRDM16	-0.268461843971967	4.7171204750358	0.67938234412263	0.74836520431986
ICMT	1.52445560908661	9.47449558275012	0.000224887059834335	0.00603226556655935
EPHB2	2.29447042617033	6.71758750676744	0.0530482607380652	0.119200178870853
PINK1	-0.332334125197888	7.71160237875597	0.190856752056262	0.286312572646484
PINK1-AS	-0.212973436302247	6.38022636498092	0.164077566878644	0.259849769622228
USP48	0.0585300515179184	9.10092098946166	0.698430657458789	0.76517106536542
EPB41	0.0476314481857049	9.22236108871325	0.797545890557568	0.845106732642831
STMN1	0.946165061806667	10.0487917661347	0.0244091909793611	0.073822255228365
PUM1	-1.36248147136427	10.831792430274	0.112465043223873	0.196160680271156
EYA3	-0.202321414863523	8.57639280239724	0.541839153864974	0.628963946703616
KHDRBS1	-1.26748323389483	10.4204710274969	5.73336253156709e-05	0.00317628963197603
NUDC	-1.71290673408392	10.0066768222089	0.0848429919494091	0.163253401163186
MACF1	1.14617181344246	11.8976339961493	0.0122047451235778	0.0490652471976308
THRAP3	0.180737512719903	10.7574375721665	0.403206053573186	0.500187418422431
CSMD2	4.11211563054278	5.67417451180348	0.000466234353958864	0.00848104087578802
SFPQ	-1.87370823464235	11.8058555063944	0.00538397213008959	0.0309474436182774
GPBP1L1	-0.139419395110835	10.4103438080763	0.547807818018541	0.634611355156265
PTPRF	0.459194288174073	12.2137266898938	0.289679015673458	0.393860727221145
TRABD2B	-1.90064223707948	6.14461092401138	0.0187799542111155	0.0629473018153207
RNF220	-0.404004964940956	8.17762175493868	0.0693304486632307	0.143240658326588
USP24	0.567167958951629	10.2064471346763	0.119837955375075	0.204965512022139
TCEANC2	1.87849011257289	6.42817037346087	4.71923839972298e-06	0.00105673353299284
FAF1	-1.00468591629604	9.19484549754015	0.00254273478362172	0.0197661499938496
SCP2	-0.219543083387179	10.2265219781037	0.392556559905537	0.489979214447998
DAB1	1.05797668799195	3.13575503358366	0.679891236214416	0.748717759060512
RAB3B	1.23306835605547	5.96724094001658	0.165784770648959	0.261752904762923
FGGY	0.21961683389136	6.95420487701071	0.590468692929709	0.671852414550205
NFIA	0.120006983239627	9.80319667276423	0.580098713515645	0.663047541871788
ITGB3BP	1.46429956164963	6.30916715808453	0.0566077532463166	0.124443612544878
USP1	1.33825234872738	10.050278859557	0.0547944808827842	0.121812049708056
CACHD1	-2.52464526622502	8.3249368598856	0.0146221473107522	0.0545452909355858
LEPR	-1.49623858176547	8.23157708721359	0.0195828648800254	0.0644928029440109
LRRC7	1.39783985500213	2.9599956455548	0.328853611280719	0.435334463023754
NEGR1	-0.633468684595103	7.07150194418669	0.223747349484859	0.322297573950552
ST6GALNAC3	-1.7825731481102	5.83978599468444	0.175251882470999	0.272165861545675
PIGK	0.466777779524726	9.02522297728473	0.0398298110223037	0.0995293397886122
CLCA4	-2.022772030375	4.22063585289379	0.0115256757363565	0.0477030319193523
PKN2-AS1	1.34057040025957	2.12253225859976	0.281887050131862	0.385586983970511
DDAH1	-1.02520929982333	9.17411558009658	0.00313601612773698	0.0224090980175455
LRRC8C	-1.01191159038602	9.40497384502902	0.0964719422127873	0.177168642314571
LOC102723661	1.50918511026821	0.754592555134103	0.0823594127251879	0.160340095420899
GCLM	0.588072209146736	8.76790664818555	0.148846253573358	0.24098873131445
FAM69A	-0.296763693945464	7.55634295560183	0.240231276516474	0.340347869521441
LOC729970	-0.905965239131329	5.21959624711389	0.229293886005737	0.328652085495107
NTNG1	3.37229928230948	2.959195508001	0.000105457045226669	0.00424901212638599
RHOC	-0.143732983929941	11.1721953530896	0.527332823751075	0.615456754583646
KCNA2	3.21920599800979	2.42995264003741	0.000499179738391349	0.00876526365060119
RAP1A	-0.00688946983658091	9.99298134748701	0.985658523501056	0.990748723638311
GNAI3	0.0550058156553318	10.8912257881108	0.910826172906833	0.934727232846431
PHTF1	0.533122776674986	7.18190637733141	0.0652625783242928	0.137416910987733
NOTCH2	-0.115561910184857	11.5650575182077	0.919915262353557	0.941546253025467
WDR3	-0.101023674312017	9.57816029657777	0.675891998500032	0.745303310099065
PDZK1	-3.93127484777703	5.611214292173	0.0306973837583148	0.0851569107395805
NBPF25P	1.44992788188276	2.05899757445586	0.00216202869228055	0.01798269294221
NBPF10	2.00446294008361	6.67250917066599	0.00431209421668377	0.0272053447090135
NBPF20	1.98956563421026	0.99478281710513	0.062310172987434	0.132986165192345
NBPF8	0.150605581574914	1.13298555484864	0.839242072577264	0.878473592951744
OTUD7B	-0.319812640908485	9.59580288869588	0.419007717570872	0.515227038492983
NBPF9	-0.806729013342013	8.06234266087671	0.00787844682525937	0.0387416608464361
SMG5	-0.0107106557662115	9.76695268165583	0.848608342885241	0.886297804103903
TPM3	0.692402662751971	12.1735023368171	0.0417212555668168	0.102194862498274
GBAP1	0.999421235296121	5.64255831983633	0.129628653421126	0.217199331427294
FCGR2A	2.47649817674119	8.38985168880442	0.00429355817942463	0.0271533698474256
PBX1	0.188377197705457	10.771010490272	0.663042657633335	0.734575435268456
LOC440700	1.5792019209188	1.87250130873243	0.0924609274656912	0.172189508181673
TNN	-2.78924028078528	8.29984106644619	0.00850839668784031	0.0406050474146404
DNM3	1.99583462694716	7.43312434260337	0.029009733135141	0.0821250030788178
MROH9	3.96966029131552	2.37758665274483	0.000409406819999104	0.00797423534148515
TNFSF18	1.72186066051374	1.66940315254897	0.0225940850104979	0.0702590798845556
SMG7	0.111283289971587	10.1347064922566	0.646421345208725	0.720634105021895
ACBD6	0.218174491484624	8.20119894993609	0.298302631874599	0.402901222073395
SOAT1	1.01623806010777	9.0341273424639	0.0399876283427461	0.0997155493100165
BRINP2	1.00558837888512	4.97903986546311	0.914579268085287	0.937324282893678
RGSL1	4.21400129200478	2.10700064600239	0.0111230625636496	0.0469189037606806
RASAL2	-0.379462563654874	10.041422309227	0.685309768522037	0.753471498779574
PTGS2	-2.86584328814537	9.32653946168924	0.00307336889196554	0.0221870051564634
ZBTB41	1.69202611907314	9.33372950475992	0.0333316208188654	0.0894491767746491
NEK7	0.939910700485079	10.0832874562122	0.0975614265232734	0.178534517633499
PPP1R12B	-0.656436097594403	9.59833047411653	0.0896785323318501	0.169427006913522
SRGAP2	-0.95485649896448	8.01714193476342	0.0543826052213026	0.121242098355149
ESRRG	-0.967002109402201	6.79527659380862	0.133442110703485	0.222023302865288
HHAT	0.339721860147592	7.15820245274641	0.551239664926023	0.637623645331344
BATF3	-0.787265407243184	5.54994282888425	0.0906661270690244	0.170440194147662
USH2A	4.52958079274959	3.71553299136518	0.00472506619047902	0.0286433999111688
EPRS	0.491057376721904	10.7537872131368	0.013810246971223	0.0527616909426022
DNAH14	2.42155056596661	7.70062251044636	6.47920166305668e-05	0.00333690735198069
MIR548F3	0.0813823604162777	0.433447687295209	0.822397962548704	0.864921054340158
RNU5F-1	1.22447126016616	0.612235630083079	0.0485846393062281	0.112836890291368
TSNAX-DISC1	0.0580999774815585	0.684987821270732	0.981066380209924	0.987623736560641
LINC00582	2.84793811658917	1.42396905829458	0.00753370153685937	0.0377774970248023
